Frame,Time (Seconds),Rotation X,Rotation Y,Rotation Z,Rotation W,Position X,Position Y,Position Z,Error Per Marker
268,2.68,0.711083,0.275658,-0.565045,-0.314796,0.916655,1.712645,-0.37955,0.023235
269,2.69,0.733628,0.336576,-0.538927,-0.240966,0.924633,1.708015,-0.380559,0.032035
270,2.7,0.670652,0.199202,-0.602229,-0.384532,0.912739,1.717597,-0.377071,0.024457
271,2.71,0.715109,0.292386,-0.566987,-0.285753,0.922325,1.711043,-0.378983,0.032032
272,2.72,0.65335,0.170222,-0.614155,-0.408623,0.911452,1.719381,-0.376104,0.024533
273,2.73,0.708025,0.277296,-0.575878,-0.300288,0.921668,1.712055,-0.378466,0.032024
274,2.74,0.648171,0.162202,-0.617083,-0.415661,0.911142,1.719721,-0.375851,0.024442
275,2.75,0.706631,0.274488,-0.577558,-0.30291,0.921592,1.712135,-0.378342,0.032007
276,2.76,0.648138,0.162169,-0.617586,-0.414976,0.91125,1.719805,-0.375814,0.0245
277,2.77,0.707229,0.275813,-0.577077,-0.301226,0.921781,1.712072,-0.378332,0.032065
